,1,2,3,4,5,6,7,,1,44,45,45,8,9,10,11,12,13,14,15,16,17,18,17,,16,16,17,19,48,19,19,20,2,,,21,22,23,38,24,31,35,35,24,24,,,33,30,32,43,47,47,25,25,25,25,25,25,25,34,40,40,26,27,28,41,,41
From Stock,,,,,V,,,,,,,,,V,,,,V,V,V,,V,,,V,,,,,,V,,,,,,V,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qty,2,2,2,8,1,8,,1,,,,,,2,,,100,20,4,40,23,40,,10,4,,,,,,10,2,,3,,,1,1400,1,,10,9,4,,1,1,2,,1,1,,,,,,,3,,1,,,,,,2,2,2,4,2,4
Price,"₪5,287","₪3,066","₪6,891","₪3,442","₪5,287","₪3,065",,"₪7,526",,,,,,₪353,,,₪222,₪134,₪193,₪97,₪144,₪78,,₪87,₪702,,,,,,₪655,"₪4,156",,"₪1,210",,,₪238,₪2,"₪1,540",,"₪6,149","₪6,465","₪7,265",,"₪8,369","₪8,787","₪8,369",,"₪9,730","₪9,430",,,,,,,"₪9,999",,"₪10,709",,,,,,₪322,₪179,₪105,₪774,"₪2,030",₪985
Discount,0%,0%,8%,0%,0%,10%,,0%,,,,,,0%,,,0%,0%,0%,0%,0%,0%,,0%,0%,0%,0%,,,,0%,0%,,0%,,,0%,0%,0%,,0%,,,,0%,0%,0%,,0%,,,,,,,,0%,,0%,,,0%,,,0%,0%,0%,0%,,0%
Final Price,"₪10,575","₪6,132","₪12,680","₪27,534","₪5,287","₪22,068",₪0,"₪7,526",₪0,₪0,₪0,₪0,₪0,₪707,₪0,₪0,"₪22,230","₪2,673",₪772,"₪3,862","₪3,301","₪3,119",₪0,₪870,"₪2,807",₪0,₪0,,₪0,₪0,"₪6,550","₪8,312",₪0,"₪3,630",,,₪238,"₪2,800","₪1,540",₪0,"₪61,487","₪58,185","₪29,060",₪0,"₪8,369","₪8,787","₪16,737",₪0,"₪9,730","₪9,430",₪0,₪0,₪0,₪0,₪0,₪0,"₪29,997",₪0,"₪10,709",₪0,₪0,₪0,₪0,₪0,₪644,₪357,₪210,"₪3,096","₪4,060","₪3,941"
Customer,,,Ormat,Ormat,Ormat,Ormat,,,,,,,,Ormat,,,Ormat,Super Gas,Ormat,Super Gas,Ormat,Ormat,,Super Gas,,,,,,,Ormat,Adama,,Adama,,,Ormat,Ormat,,,Raphael,Raphael,Raphael,,Ormat,,,,,Ormat,,,,,,,,,,,,,,,,,,,Bazan,
Customer PN,,,955.071.676.1,955.072.575.1,955.070.092.1,955.070.093.1,,,,,,,,955.073.861.1,,,955.071.374.1,110109,955.074.758.1,110110,955.071.839.1,955.070.839.1,,110068,,,,,,,955.071.924.1,1933724140,,1930524140,,,955.071.277.1,955.070.409.1,,,MTZ9206−130,MTZ9206NI−130,MTZ9206LSE−130,,955.070.403.1,,,,,955.071.472.1,,,,,,,,,,,,,,,,,,,36JM2100800,
PO REF,,,AJ19-1102,AJ19-1102,AJ20-1201,AJ20-0401,,,,,,,,AJ21-0501,,,AJ19-0708,AJ20-0101,AJ20-0702,AJ20-0802,AJ19-0708,AJ19-1005,,AJ20-0802,,,,,,,AJ19-0810,AJ20-0103,,AJ20-0104,,,AJ-0901,AJ19-0705,,,AM19-1001,AM19-1002,AM19-0802,,AM19-1101,,,,,AM19-1101,,,,,,,,,,,,,,,,,,,AN21-0605,
From Stock,,,V,V,V,,,,,,,,,V,,,V,V,,V,V,V,,V,,,,,,,V,,,,,,V,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qty,,,2,1,1,4,,,,,,,,2,,,37,40,3,20,61,18,,40,,,,,,,5,1,,3,,,1,1700,,,8,8,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,5,
Price,,,"₪5,755","₪3,442","₪5,287","₪3,065",,,,,,,,₪353,,,₪222,₪134,₪194,₪108,₪144,₪100,,₪87,,,,,,,₪655,"₪4,156",,"₪1,140",,,₪207,₪1,,,"₪6,620","₪6,580","₪7,265",,"₪8,369",,,,,"₪9,730",,,,,,,,,,,,,,,,,,,"₪2,030",
Discount,,,0%,0%,0%,0%,,,,,,,,0%,,,0%,0%,0%,0%,0%,0%,,0%,,,,,,,0%,0%,,,,,0%,0%,,,,,,,3%,,,,,3%,,,,,,,,,,,,,,,,,,,,
Final Price,₪0,₪0,"₪11,511","₪3,442","₪5,287","₪12,260",₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪707,₪0,₪0,"₪8,225","₪5,347",₪581,"₪2,160","₪8,755","₪1,800",₪0,"₪3,480",,₪0,₪0,,₪0,₪0,"₪3,275","₪4,156",₪0,"₪3,421",,,₪207,"₪1,700",₪0,₪0,"₪52,960","₪52,640","₪7,265",₪0,"₪8,118",₪0,₪0,₪0,₪0,"₪9,438",₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,"₪10,150",₪0
Customer,,,Ormat,Ormat,Ormat,Ormat,,,,,,,,,,,Ormat,Ormat,Ormat,Super Gas,Ormat,Ormat,,,,,,,,,Ormat,Adama,,,,,Ormat,Ormat,,,Raphael,Raphael,Raphael,,Ormat,,,,,Ormat,,,,,,,,,,,,,,,,,,,,
Customer PN,,,955.071.676.1,955.072.575.1,955.070.092.1,955.070.093.1,,,,,,,,,,,955.070.741.1,955.070.841.1,955.071.363.1,110110,955.071.839.1,955.070.839.1,,,,,,,,,955.071.924.1,1933724140,,,,,955.071.277.1,955.070.409.1,,,MTZ9206−80,MTZ9206NI−130,MTZ9206LSE−130,,955.070.403.1,,,,,955.075.272.1,,,,,,,,,,,,,,,,,,,,
PO REF,,,AJ19-1205,AJ20-0102,AJ21-0702,AJ20-0602,,,,,,,,,,,AJ19-1005,AJ20-0106,AJ20-0903,AJ21-0301,AJ19-1003,AJ19-1201,,,,,,,,,AJ20-0901,AN20-1101,,,,,AJ20-1003,AJ20-1105,,,AM20-0104,AM19-1202,AN20-0906,,AM20-0103,,,,,AN21-0502,,,,,,,,,,,,,,,,,,,,
From Stock,,,V,,V,V,,,,,,,,,,,V,V,,V,V,V,,,,,,,,,V,,,,,,,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qty,,,1,8,5,1,,,,,,,,,,,6,100,2,40,92,5,,,,,,,,,20,1,,,,,1,1,,,1,4,7,,1,,,,,1,,,,,,,,,,,,,,,,,,,,
Price,,,"₪5,755","₪3,441","₪5,551","₪3,065",,,,,,,,,,,₪222,₪135,₪177,₪108,₪144,₪100,,,,,,,,,₪697,"₪4,156",,,,,₪207,"₪1,700",,,"₪6,620","₪6,580","₪7,660",,"₪8,369",,,,,"₪10,266",,,,,,,,,,,,,,,,,,,,
Discount,,0%,0%,10%,0%,0%,,,,,,,,,,,0%,0%,0%,0%,0%,0%,,,,,,,,,0%,0%,,,,,0%,0%,,,,,,,0%,,,,,0%,,,,,,,,,,,,,,,,,,,,
Final Price,₪0,₪0,"₪5,755","₪24,775","₪27,755","₪3,065",₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,"₪1,334","₪13,480",₪354,"₪4,320","₪13,205",₪500,₪0,₪0,,₪0,₪0,,₪0,₪0,"₪13,937","₪4,156",₪0,₪0,,,₪207,"₪1,700",₪0,₪0,"₪6,620","₪26,320","₪53,620",₪0,"₪8,369",₪0,₪0,₪0,₪0,"₪10,266",₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0
Customer,,,Ormat,Ormat,Ormat,Ormat,,,,,,,,,,,Ormat,Ormat,Ormat,,Ormat,Ormaturk,,,,,,,,,Ormat,,,,,,Ormat,,,,,Raphael,Raphael,,Ormat,,,,,,,,,,,,,,,,,,,,,,,,,
Customer PN,,,955.071.676.1,955.072.575.1,955.070.092.1,955.070.093.1,,,,,,,,,,,955.070.741.1,955.070.841.1,955.071.365.1,,955.071.839.1,955.070.839.1,,,,,,,,,955.071.924.1,,,,,,955.071.277.1,,,,,MTZ9206NI−130,MTZ9206LSE−130,,955.070.403.1,,,,,,,,,,,,,,,,,,,,,,,,,
PO REF,,,AJ20-0102,AJ21-0702,AJ21-0702,AJ20-1201,,,,,,,,,,,AJ19-1201,AJ20-0301,AJ20-0903,,AJ19-1201,AJ19-1206,,,,,,,,,AJ20-1202,,,,,,AJ20-1001,,,,,AN20-0601,AN21-0104,,AJ20-0703,,,,,,,,,,,,,,,,,,,,,,,,,
From Stock,,,,V,V,V,,,,,,,,,,,V,V,,,V,,,,,,,,,,V,,,,,,V,,,,,,,,V,,,,,,,,,,,,,,,,,,,,,,,,,
Qty,,,8,10,5,1,,,,,,,,,,,1,10,5,,3,4,,,,,,,,,1,,,,,,1,,,,,13,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Price,,,"₪5,755","₪3,614","₪5,551","₪3,065",,,,,,,,,,,₪222,₪170,₪153,,₪144,₪119,,,,,,,,,₪835,,,,,,₪207,,,,,"₪6,820","₪7,660",,"₪8,370",,,,,,,,,,,,,,,,,,,,,,,,,
Discount,,,10%,0%,0%,0%,,,,,,,,,,,0%,0%,0%,,0%,0%,,,,,,,,,0%,,,,,,0%,,,,,,,,0%,,,,,,,,,,,,,,,,,,,,,,,,,
Final Price,₪0,₪0,"₪41,436","₪36,140","₪27,755","₪3,065",₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪222,"₪1,700",₪765,₪0,₪431,₪476,₪0,₪0,,₪0,₪0,,₪0,₪0,₪835,₪0,₪0,₪0,,,₪207,₪0,₪0,₪0,₪0,"₪88,660","₪15,320",₪0,"₪8,370",₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0
Customer,,,Ormat,,,Ormat,,,,,,,,,,,Ormat,Ormat,Ormat,,Ormat,Super Gas,,,,,,,,,,,,,,,Ormat,,,,,Raphael,Raphael,,Geotérmica Platanares,,,,,,,,,,,,,,,,,,,,,,,,,
Customer PN,,,955.071.676.1,,,955.070.093.1,,,,,,,,,,,955.070.741.1,955.070.841.1,955.074.758.1,,955.071.839.1,110111,,,,,,,,,,,,,,,955.071.277.1,,,,,MTZ9206NI−130,MTZ9206LSE−130,,955.070.403.1,,,,,,,,,,,,,,,,,,,,,,,,,
PO REF,,,AJ20-0602,,,AJ21-0702,,,,,,,,,,,AJ20-0205,AJ21-0102,AJ21-0403,,AJ19-1205,AJ20-0101,,,,,,,,,,,,,,,AJ21-0601,,,,,AN20-0706,AN21-0604,,AJ21-0404,,,,,,,,,,,,,,,,,,,,,,,,,
From Stock,,,V,,,V,,,,,,,,,,,V,V,V,,V,V,,,,,,,,,,,,,,,V,,,,,,,,V,,,,,,,,,,,,,,,,,,,,,,,,,
Qty,,,1,,,3,,,,,,,,,,,1,1,2,,3,20,,,,,,,,,,,,,,,1,,,,,5,2,,4,,,,,,,,,,,,,,,,,,,,,,,,,
Price,,,"₪5,755",,,"₪3,219",,,,,,,,,,,₪222,₪135,₪194,,₪144,₪78,,,,,,,,,,,,,,,₪350,,,,,"₪6,820","₪7,660",,"₪8,594",,,,,,,,,,,,,,,,,,,,,,,,,
Discount,,,0%,,,0%,,,,,,,,,,,0%,0%,0%,,0%,0%,,,,,,,,,,,,,,,0%,,,,,,,,0%,,,,,,,,,,,,,,,,,,,,,,,,,
Final Price,₪0,₪0,"₪5,755",₪0,₪0,"₪9,657",₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪222,₪135,₪388,₪0,₪431,"₪1,560",₪0,₪0,,₪0,₪0,,₪0,₪0,₪0,₪0,₪0,₪0,,,₪350,₪0,₪0,₪0,₪0,"₪34,100","₪15,320",₪0,"₪34,376",₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0
Customer,,,Ormat,,,Ormat,,,,,,,,,,,Ormat,Ormat,Ormat,,Ormat,Ormat,,,,,,,,,,,,,,,,,,,,Raphael,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Customer PN,,,955.071.676.1,,,955.070.093.1,,,,,,,,,,,955.070.741.1,955.070.841.1,955.074.758.1,,955.071.839.1,955.070.839.1,,,,,,,,,,,,,,,,,,,,MTZ9206NI−130,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PO REF,,,AJ20-1001,,,AJ21-0702,,,,,,,,,,,AJ20-0206,AJ21-0103,AJ21-0501,,AJ20-0206,AJ20-0106,,,,,,,,,,,,,,,,,,,,AN20-0802,,,,,,,,,,,,,,,,,,,,,,,,,,,,
From Stock,,,,,,V,,,,,,,,,,,V,V,V,,V,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qty,,,2,,,7,,,,,,,,,,,10,3,1,,38,3,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Price,,,"₪5,755",,,"₪3,219",,,,,,,,,,,₪223,₪135,₪194,,₪144,₪100,,,,,,,,,,,,,,,,,,,,"₪6,820",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Discount,,,0%,,,0%,,,,,,,,,,,0%,0%,0%,,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Final Price,₪0,₪0,"₪11,510",₪0,₪0,"₪22,533",₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,"₪2,233",₪404,₪194,₪0,"₪5,454",₪300,₪0,₪0,,₪0,₪0,,₪0,₪0,₪0,₪0,₪0,₪0,,,₪0,₪0,₪0,₪0,₪0,"₪6,820",₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0
Customer,,,Ormat,,,,,,,,,,,,,,Ormat,Super Gas,,,Ormat,Ormat,,,,,,,,,,,,,,,,,,,,Raphael,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Customer PN,,,955.071.676.1,,,,,,,,,,,,,,955.070.741.1,110109,,,955.071.839.1,955.070.839.1,,,,,,,,,,,,,,,,,,,,MTZ9206NI−80,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PO REF,,,AJ20-1201,,,,,,,,,,,,,,AJ21-0501,AJ20-0802,,,AJ20-0304,AJ20-0205,,,,,,,,,,,,,,,,,,,,AN20-0906,,,,,,,,,,,,,,,,,,,,,,,,,,,,
From Stock,,,V,,,,,,,,,,,,,,V,V,,,V,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qty,,,1,,,,,,,,,,,,,,6,30,,,10,13,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Price,,,"₪5,755",,,,,,,,,,,,,,₪232,₪147,,,₪144,₪100,,,,,,,,,,,,,,,,,,,,"₪6,820",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Discount,,,0%,,,,,,,,,,,,,,0%,0%,,,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
